#years Jestha
2061 5.464999999999999
2062 43.90633333333334
2063 13.686
2064 9.753225806451612
2065 7.165666666666665
2066 5.083964960413528
2067 17.821347092836906
2068 4.815710611379058
#2069 
#2070 
2071 10.186604689264634
2072 9.615231257263364
2073 10.442263001621514
2074 9.349017613306039
2075 14.908038043186913
2076 14.908038043186913
2077 16.4032769086184
2078 23.0340866278737
#2079 
