#years Mangsir
2061 7.879310344827586
2062 7.439999999999998
2063 5.8239285714285725
2064 7.793214285714288
2065 7.416551724137931
2066 7.266665877497804
2067 7.604682794859832
2068 7.419379942862006
#2069 
#2070 
#2071 
2072 5.197405358137594
2073 6.353826948918914
2074 5.0463035063372095
2075 4.691589174491387
2076 10.015355983185634
#2077 
2078 8.775523708534038
2079 6.946417036834966
