#years Magh
2061 5.739642857142857
2062 2.9951724137931044
2063 2.9907142857142857
2064 4.2092857142857145
2065 3.2917857142857145
2066 3.514929160276993
2067 3.033500000000001
2068 3.730817246345261
#2069 
#2070 
#2071 
2072 3.348928571428572
2073 3.7784792857142735
2074 3.156774316290142
#2075 
2076 8.909565140880416
2077 3.020083358567516
2078 4.497932772164485
#2079 
