#years Chaitra
2061 2.200322580645161
2062 2.212666666666667
2063 2.5382758620689656
2064 2.9258620689655164
2065 1.6376666666666666
2066 1.8366000000000002
2067 1.9737931034482756
2068 2.964004205035546
#2069 
#2070 
2071 2.9262500000000005
2072 2.1444827586206903
2073 3.052947767670962
2074 2.6105808333333393
2075 2.9096709747000618
2076 3.285055478546131
2077 1.8195245439820158
2078 2.8629598030119707
#2079 
