#years Shrawan
2061 66.57677419354839
2062 67.35483870967742
2063 55.10718002081167
2064 85.75129032258064
2065 101.1051612903226
2066 149.710935483871
2067 140.23170512544567
2068 111.19803348705832
2069 117.6705648943469
#2070 
#2071 
2072 56.722253077611235
2073 114.54021634860678
2074 75.38421930563842
2075 55.85687782090058
2076 42.283232434553824
2077 77.85248332764911
2078 63.62974462322902
2079 65.40966660022747
