#years Ashadh
2061 54.35033333333333
2062 53.33129032258064
2063 36.86258064516129
2064 76.89466666666667
2065 63.519333333333336
2066 69.62456519583218
2067 89.65744820699953
2068 104.68622931226852
#2069 
#2070 
2071 29.11282748523586
2072 73.20020284675884
2073 66.51487269254056
2074 41.92625099045853
2075 55.88710055716846
2076 55.52682672659218
2077 80.59851142873816
2078 64.63692637335409
#2079 
