#years Ashwin
2061 49.6551724137931
2062 22.615666666666662
2063 32.73199999999999
2064 37.8137931034483
2065 61.21366666666667
2066 68.7438855594774
2067 52.48485783933416
2068 63.28052770061719
2069 46.965828604143546
#2070 
#2071 
2072 17.8367093700736
2073 54.79103887591009
2074 30.146979505512505
2075 20.24942911348079
2076 34.60707450101883
2077 50.13841454703863
2078 46.769628539300115
2079 60.08952514405075
