#years Baishakh
2061 2.777499999999999
2062 3.4499999999999997
2063 4.445333333333334
2064 3.253999999999999
2065 1.6653333333333333
2066 2.650123199667141
2067 3.313763226245298
2068 3.117220653595041
#2069 
#2070 
2071 4.040232099188773
2072 1.9287742020083494
2073 3.877515737674243
2074 4.311600620744803
2075 6.486357118000284
2076 6.5899147542627805
2077 3.182863686396801
2078 4.8008980013527305
#2079 
