#years Bhadra
2061 138.96466666666666
2062 75.2
2063 109.37566666666667
2064 101.36366666666666
2065 68.89200000000001
2066 89.29180000000001
2067 158.8041590218495
2068 78.89238270479903
2069 81.16404514285672
#2070 
#2071 
2072 58.297072504302314
2073 55.925051713060725
2074 63.297807709934744
2075 36.30101762029311
2076 45.00780557238599
2077 61.705094403235215
2078 68.17773900885132
2079 57.5344401193525
