#years Kartik
2061 14.706896551724139
2062 23.160714285714285
2063 10.966551724137926
2064 15.611034482758615
2065 11.271379310344825
2066 15.489414104554474
2067 14.264388388231527
2068 12.99446304695476
2069 11.01897885262525
#2070 
#2071 
2072 7.741728911380749
2073 14.499613271521685
2074 8.165091633610201
2075 6.884016257638594
2076 12.949348629235034
2077 8.735106707716763
2078 31.446905652898838
2079 17.719636650279185
