#years Poush
2061 4.5928571428571425
2062 3.8228571428571407
2063 3.9286206896551734
2064 4.962413793103449
2065 5.137499999999998
2066 4.7260094428051955
2067 4.188465795173103
2068 4.724388676983516
#2069 
#2070 
#2071 
2072 3.8372413793103446
2073 4.416018035714296
2074 3.776222538920097
2075 3.400097805400559
2076 9.283349314133183
2077 3.654314258904398
2078 3.7530967004271987
2079 4.881664319678652
